,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058,sample059,sample060,sample061,sample062,sample063,sample064,sample065,sample066,sample067,sample069,sample070,sample071,sample072,sample073,sample074,sample075,sample076,sample077,sample078,sample079,sample080,sample081,sample082,sample083,sample084,sample085,sample086,sample087,sample088,sample089,sample090,sample091,sample092,sample093,sample094,sample095,sample096,sample097,sample098,sample099,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample130,sample131,sample132
PRKCD,117.81,130.72,123.44,160.99,82.71,111.98,164.98,58.97,65.13,116.41,124.29,97.64,87.2,43.01,83.42,73.88,65.25,74.41,109.25,80.9,121.08,59.72,53.67,72.73,185.21,88.73,59.35,83.3,65.69,121.92,110.48,119.66,117.12,96.92,71.28,64.48,90.54,126.43,89.79,118.18,43.46,50.41,119.91,158.17,141.68,117.59,92.4,57.23,105.47,122.13,82.83,36.89,124.46,114.62,72.39,126.99,102.89,96.78,73.07,50.86,44.57,72.87,93.93,74.47,45.26,50.63,58.4,58.69,62.67,57.83,70.18,93.3,91.01,102.08,61.84,20,39.04,54.86,51.21,31.55,66.39,48.94,55.27,53.88,50.28,35.89,72.22,78.12,57.25,60.02,48.41,44.37,112.22,64.08,55.01,56.57,54.29,90.02,44.65,49.58,42.32,49.41,54,67.43,76.23,43.42,32.83,36.42,20,72.98,54.9,60.85,66.37,47.03,40.65,85.52,86.86,35.98,37.5,41.12,57.12,66.53,73.77,33.42,33.84,36.62,42.69,73.54,59.01,76.73
PSMB10,74.65,101.82,117.01,90.67,92.92,88.89,88.1,51.21,89.67,75.27,115.54,65.09,85.58,77.07,72.11,53.73,51.94,93.62,100.29,64.36,75.68,104.51,58.01,71.5,141.63,103.83,60.56,76.79,52.28,132.59,115.74,86.31,68.4,77.89,63.67,54.96,93.7,92.65,75.42,79.16,119.21,63.02,134.44,114.53,138.23,79.2,82.29,54.51,131.83,115.47,74.38,63.24,96.17,78.58,54.04,118.75,91.6,79.54,48.34,79.39,46.26,86.43,81.52,61.44,50.78,41.3,68.64,54.27,28.26,51.69,59.16,100.97,113.23,103.87,42.82,20,50.84,68.58,60.25,79.89,41.73,49.78,42.26,33.97,48.75,50.66,90.99,67.78,102.08,40.55,52.94,68.71,82.95,97.04,33.3,56.57,51.33,69.74,90.02,108.85,38.7,35.04,54.9,72.33,85.38,106.26,39.62,49.43,49.13,78.49,101.96,95.38,38.37,34.06,47.26,65.79,53,103.94,53.57,67.29,67.67,102.97,90.8,59.69,36.78,43.03,65.29,83.35,82.3,88.42
PSMB5,73.49,85.31,81.01,79.57,56.16,60.03,49.04,53.53,52.86,63.02,71.77,61.27,72.66,49.55,84.84,83.96,66.58,55.21,87.76,62.52,63.29,52.98,44.6,70.27,64.16,73.62,48.45,40.35,68.37,60.96,93.38,70.62,59.03,93.46,81.29,53.91,66.33,53.08,59.86,74.7,63.33,45.37,45.42,67.63,79.48,40.8,60.64,57.23,75.94,67.73,72.69,65.34,73.54,62.87,60.16,63.49,69.01,78.22,44.96,58.3,53.6,50.84,45.19,70.75,38.63,38.64,43.95,41.48,36.87,33.29,44.12,51.12,59.26,57.31,30.92,81.8,32.69,46.42,32.13,41.72,30.35,31.22,27.09,32.8,20,24.28,36.11,36.76,48.97,20,40.84,37.22,68.31,43.03,39.09,36,45.41,43.11,59.06,37.72,25.39,26.95,31.5,44.14,51.84,53.7,35.09,24.28,20,39.93,65.36,61.4,25.93,23.52,23.63,39.47,30.91,65.3,39.29,20,25.48,49.11,39.72,42.97,32.37,20.14,26.37,50.66,34.94,47.5
PSMB7,110.81,112.83,131.15,90.67,124.58,109.67,125.92,114.05,82.12,85.78,89.28,111.04,129.18,174.1,93.32,100.75,142.49,86.41,91.34,152.62,119.71,150.26,131.42,109.72,90.79,94.39,87.21,126.25,105.9,105.16,109.17,100.05,128.37,160.96,203.43,97.24,98.97,92.65,95.78,102.58,228.48,90.74,67.22,65.45,107.13,86.4,164.59,119.91,99.14,89.93,103.12,137.01,179.14,127.65,83.61,103.47,102.89,102.08,91.05,181.11,110.58,91.51,58.48,111.71,94.93,105.25,141.5,114.29,113.06,128.8,147.39,164.87,206.36,249.83,103.47,167.68,125.29,117.11,116.48,263.57,109.38,134.16,114.87,126.51,102.08,136.15,150.21,109.13,216.58,176.81,149.76,124.53,177.28,256.34,94.1,186.86,135.23,136.94,283.75,253.27,142.69,158.12,162,154.48,179.14,267.37,147.16,101.46,136.21,162.49,231.8,239.55,95.41,120.83,118.15,134.86,156.05,269.19,126.79,171.96,110.72,153.66,147.54,175.48,126.53,131.83,149.42,173.24,277.17,298.15
PSMB8,235.62,332.99,429.47,666.18,384.97,370.58,512.4,133.45,236.91,362.37,483.15,291.01,240.59,326.87,166.85,189.75,178.45,388.87,444.16,309.83,274.5,253.81,219.82,186.15,794.09,402.1,230.14,305.86,211.81,574.55,641.84,480.62,368.24,505.39,427.68,160.66,270.58,471.96,366.35,303.27,424.67,164.68,737.63,823.56,514.89,364.78,410.03,186.23,507.3,489.62,410.77,249.78,320.57,369.53,168.24,498.54,584.72,361.91,227.06,333.68,202.54,357.58,390.77,333.27,207.52,214.5,278.17,215.33,219.97,403.91,593.56,828.19,794.76,693.09,216.45,216.76,253.31,462.11,445.82,429.96,227.61,247.22,237.32,183.91,272.72,325.08,587.83,606.56,521.45,215.74,440.2,472.37,905.9,527.32,180.97,620.6,431.36,772.17,567.51,658.49,210.41,361.16,477.91,491.62,614.4,591.87,168.67,319.99,319.32,643.09,583.86,593.67,211.56,283.01,411.18,618.39,482.86,429.1,337.52,452.34,581.74,703.34,530.59,479.87,179.49,330.49,414.37,598.15,638.19,633.57
PSMB9,403.59,429.31,473.18,869.73,517.72,529.89,663.25,200.17,265.23,506.79,647.7,359.94,347.17,379.17,212.09,255.23,296.97,501.68,666.24,456.01,414.16,361.69,279.42,263.81,888.51,488.94,305.24,449.02,313.69,608.08,773.37,574.78,485.36,745.98,503.37,233.59,355.86,563.64,401.07,404.73,555.06,195.77,1100.99,911.91,573.64,446.38,405.7,211.66,557.92,623.96,518.96,309.86,501.6,436.23,219.22,647.86,681.34,436.15,285.52,394.47,211.57,403.33,454.57,417.05,254.99,233.16,388.36,268.29,219.97,305.78,424.11,576.41,600.04,517.58,177.21,139.05,200.65,301.75,234.96,325.65,159.96,155.25,249.24,174.54,252.92,370.47,483.84,506.61,530.42,215.74,364.56,396.51,263.48,448.59,134.64,432.02,295.14,502.1,388.18,414.93,188.65,315.34,388.81,457.3,469.56,441.05,144.9,219.4,288.06,483.35,497.59,488.97,161.78,206.78,249.54,342.09,347.43,425.1,241.09,209.35,314.6,468.89,368.86,409.44,163.31,298.45,405.58,539.32,222.05,256.5
PSMC2,100.31,101.82,105.44,111.03,107.22,110.83,96.41,106.29,122.7,168.05,169.8,111.04,111.42,121.11,72.11,94.03,86.56,74.41,91.34,94.7,112.14,112.22,101.82,83.83,95.63,100.05,99.32,137.96,88.48,112.78,99.96,111.82,106.82,121.16,142.16,80.33,112.65,99.41,116.13,110.38,126.66,90.74,110.83,95.99,120.95,99.59,119.83,71.77,107.58,86.6,87.9,112.77,105.6,97.75,102.98,142.27,143.04,114.01,151.75,132.73,101.55,89.82,91.27,94.95,89.41,106.59,86.7,112.08,146.24,168.22,179.47,117.58,162.97,146.86,99.9,98.16,129.83,124.5,150.62,140.95,135.3,98.72,93.19,138.23,152.36,185.76,148.76,113.73,174.51,82.73,151.27,137.42,148,143.73,75.28,159.43,102.66,98.9,194.45,139.03,122.14,137.46,156.6,112.79,142.55,161.11,139.24,158.69,125.05,134.95,149.89,166.1,84,94.07,114.37,120.06,129.55,182.57,89.29,115.89,108.97,114.05,119.17,204.12,161.84,160.21,200.91,145.45,240.68,203.88
PSMD7,90.98,81.18,86.15,103.63,95.99,70.42,87.27,60.52,75.51,85.78,122.54,86.16,92.04,141.07,87.66,85.64,63.92,82.81,78.8,76.31,80.49,87.65,83.67,81.36,81.1,77.4,65.41,83.3,79.09,70.1,106.54,86.31,84.33,74.42,114.93,68.7,68.43,67.56,95.78,71.36,130.38,60.5,89.02,83.99,76.02,84,106.84,64.5,89.65,74.39,79.45,83.26,94.29,88.93,63.22,77.6,61.48,74.24,76.44,99.24,59.8,74.57,65.57,81.92,77.27,62.62,87.31,84.28,58.99,103.39,87.23,94.58,113.23,129.84,76.12,20,61.74,89.68,80.33,124.66,86.62,72.56,75.86,94.88,63.99,90.77,70.77,93.05,125.54,87.59,93.79,61.55,79.69,126.34,81.07,68.57,81.93,87.49,135.4,129.33,77.39,77.26,87.3,105.44,128.06,147.4,69.05,84.98,66.99,96.39,121.13,111.83,71.56,65.68,69.95,85.52,98.63,109.27,67.86,63.55,70.3,87.12,109.24,102.66,57.38,83.31,99.2,98.06,101.71,114.73
PTAFR,65.32,35.78,39.86,20,20,20,34.91,24.83,26.43,35.89,20,20,33.91,20,43.83,38.62,42.61,20,20,20,35.77,44.79,35.12,30.82,20,20,20,20,41.56,45.72,32.88,20,20.61,20,23.23,53.91,24.22,27.02,20,45.71,20,34.45,47.24,21.82,20,20,20,22.71,24.26,20,20,20,20,20,42.83,27.04,30.11,20,24.73,20,20.31,20,20,20,20,20,30.71,26.03,44.24,30.67,46.12,38.34,45.51,43.88,34.49,20,21.79,22.16,35.14,20,20.23,20,31.43,25.77,20,20,20,76.97,52.42,20,20,20,97.58,60.42,49.22,44.57,36.52,54.52,39.61,49.58,20,30.55,42.3,39.23,45.74,43.42,20,20,20,42.69,40.09,41.66,34.22,26.76,20,20,36.8,20,20,20,26.36,41.19,42.56,35.81,30.9,20,20,39.22,34.16,30.69
PTGDR2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.28,20,20,24,20,20,20,20,20,30.82,20,20,26.65,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.01,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26.97,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
