,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058,sample059,sample060,sample061,sample062,sample063,sample064,sample065,sample066,sample067,sample069,sample070,sample071,sample072,sample073,sample074,sample075,sample076,sample077,sample078,sample079,sample080,sample081,sample082,sample083,sample084,sample085,sample086,sample087,sample088,sample089,sample090,sample091,sample092,sample093,sample094,sample095,sample096,sample097,sample098,sample099,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample130,sample131,sample132
CXCL3,44.32,45.41,47.58,57.37,35.74,20,20.78,48.88,32.09,35.01,43.76,63.18,20,79.48,52.32,20,26.63,45.61,20,20,20,20,20,34.52,52.05,66.07,61.77,20,53.62,41.15,48.66,90.24,44.04,117.69,28.83,46.51,48.43,42.47,45.49,35.68,20,26.89,41.79,27.27,20,24,20,46.33,51.68,36.64,60.86,44.27,20,20,40.79,47.03,36.39,75.56,71.94,35.97,23.7,38.98,35.44,48.41,22.08,20,20,20,27.04,26.28,20.05,56.23,71.96,33.13,52.33,20,32.69,36.93,63.26,20,34.14,27.84,33.59,49.2,41.14,45.38,56.33,80.41,51.04,42.17,20,44.37,134.99,49.44,34.75,36,45.41,119.19,31.69,33.41,45.95,37.73,47.7,73.56,66.32,37.71,47.55,44.23,49.13,88.13,48.8,42.21,71.56,36.49,49.15,87.17,92.74,35.98,41.07,50.47,34.27,64.95,93.63,20,36.78,29.3,32.65,70.27,66.77,40.92
CXCL5,25.66,35.78,20,37.01,20,20,20,20.95,23.6,20,35.01,20,20,20,31.11,40.3,33.29,28.8,20,20,20,20,20,35.75,20,20,25.44,20,20,20,26.31,20,20,20,20,41.22,24.22,23.16,37.11,20,20,20,20,22.91,20,20,20,28.16,32.69,20,33.81,25.29,20,20,42.83,20,27.6,20,20,20,20,20,20,37.24,20,20,20,20,20,20,20,29.4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50.42,20,20,20,20,20,20,20,20,20,20,20,20,20,29.43,20,20,27.54,20,20,20,20,20,20,20,20,20,20,20,20,20,25.07,20,20,20,20,20,20
CXCL6,30.33,20,20,20,20,20,20,20.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.86,20,20,20,20,20,20,20,20,23.25,20,20,23.94,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,36.56,20,20,20,20,20,20,20,20,20,27.37,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,45.36,20,20,20,20,20,20
CXCL9,24.5,20,25.72,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CXCR1,197.13,88.06,81.01,166.54,43.91,51.95,85.61,42.67,32.09,134.79,105.03,61.27,53.29,20,74.94,85.64,86.56,108.02,127.16,45.97,98.38,23.6,21.31,92.46,227.58,71.74,47.24,53.36,113.95,147.83,203.86,88.28,78.71,100.39,49.26,113.1,73.7,182.41,94.58,89.2,31.04,43.69,392.43,307.61,148.59,73.2,56.31,33.61,66.44,61.06,108.19,24.24,79.2,53.67,61.18,164.61,160.61,70.26,52.83,26.05,31.59,66.09,62.91,80.06,20,26.65,49.98,27.36,93.4,99.88,99.26,117.58,95.24,89.55,89.2,20,29.05,30.6,88.36,20,20.86,31.22,35.76,59.74,30.47,42.22,79.44,160.83,82.08,63.26,52.94,71.57,128.48,54.93,104.24,104.58,63.17,218.08,59.78,58.2,50.79,41.33,72,71.11,60.22,39.99,43.02,39.89,44.66,172.13,61.87,54.82,66.37,38.11,35.92,85.52,83.91,50.64,42.86,50.47,68.54,76.04,87.96,70.43,52.96,37.54,43.95,99.69,45.81,51.88
CXCR2,530.73,301.34,340.74,508.88,140.92,221.65,300.46,110.95,116.1,303.72,295.84,155.08,116.26,20,197.95,204.86,218.4,240.04,333.12,99.29,243.54,54.9,59.99,258.88,728.73,215.21,116.28,145.77,277.49,368.81,432.72,268.75,231.44,216.35,98.91,245.22,210.57,426.59,185.57,125.99,37.25,122.67,902.96,799.56,314.47,159.59,101.06,100.84,249.96,226.49,187.64,45.32,177.26,164.07,177.42,309.23,377.68,139.2,78.69,42.18,110.58,199.97,249.88,197.35,56.3,61.29,166.78,97.08,165.9,100.76,83.22,153.37,118.53,79.7,86.82,20,29.05,37.98,101.41,20,25.29,28.69,60.68,56.23,39.61,48.55,62.11,184.95,51.04,48.66,37.82,40.08,182.16,46.69,92.66,99.43,70.08,247.25,53.29,34.49,59.25,51.21,91.8,68.66,55.65,20,45.28,40.76,62.52,140.46,47.93,50.98,68.45,47.03,42.54,92.1,107.47,26.65,50,41.12,79.09,61.78,100.73,48.94,51.49,21.97,46.46,96.42,55.12,44.58
CXCR3,44.32,35.78,43.72,20,33.7,20,20,36.47,29.26,24.51,42.01,20,20,20,36.76,43.66,26.63,26.4,20,40.45,20,20,20,57.94,27.84,43.42,47.24,31.24,28.15,35.05,34.2,43.16,27.17,20,20,35.94,23.16,21.23,20,20,27.32,41.17,47.24,31.63,69.11,37.2,20,39.97,30.59,24.43,20,41.1,20,20,33.65,32.92,20,34.47,28.1,20,22.57,44.06,22.15,48.41,39.74,26.65,20,20,20,22.78,23.06,20,38.1,21.49,24.98,20,20,20,20.08,57.5,20,20.25,32.51,20,33.52,20,20,32.17,57.94,20,20,20,43.91,43.94,20,20,20,20,64.1,53.89,25.39,20,20,20,37.35,70.84,20,20,20,28.92,39.21,50.98,31.11,20,20,32.89,20,43.98,20,20,20,20,51.07,37,20,20,20,20,31.06,36.54
CXCR4,223.96,160.99,156.87,186.9,125.6,220.5,202.38,169.91,95.33,120.79,155.8,109.13,221.22,215.05,162.6,189.75,187.77,111.62,220.29,103.89,138.97,72.72,97.88,239.16,225.15,156.69,99.32,147.07,176.95,146.3,131.53,153.01,77.77,200.77,119.33,224.08,198.99,179.52,142.47,82.51,156.46,153.76,63.59,223.62,224.62,128.39,119.83,193.5,139.22,212.06,142,91.69,148.97,142.98,160.08,104.65,135.51,103.4,64.07,86.83,121.3,125.41,107.22,217.83,82.79,109.25,128.25,135.91,233.49,204.15,174.46,388.53,411.67,280.28,267.6,192.22,179.77,234.22,227.93,123.65,152.38,124.03,134.37,159.31,111.22,94.99,122.77,278,169.68,133.01,92.28,124.53,289.5,182.18,243.22,178.29,126.35,314.45,189.41,203.69,241.86,215.62,191.71,324.89,258.41,106.26,157.35,121.41,125.05,260.27,219.6,206.11,192.89,219.76,188.1,287.82,260.57,146.59,200.01,115.89,121.27,359.59,244.01,130.11,178.02,187.68,194.63,372.62,125.78,126.42
CXCR6,20,20,20,20,20,20,20,20.17,20,20,20,20,20,20,20,20,20,20,20,29.42,20,20,20.92,25.89,20,20,20,20,26.81,20,20,20,20,20,20,20,20,20,23.94,20,20,20,20,20,20,20,20,20,20,20,20,43.21,20,20,20,20,20,20,22.48,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.55,20,20,20,20,20,30.53,20,20,20,20,20,20,20,20,77.25,20,20,20,20,26.55,20,20,20,20,33.13,44.19,20,20,20,20,20,30.85,20,20,20,20,40.09,40.02,20,20,20,20,20,59.97,20,20,20,20,20,42.97,20,20,20,20,50.47,59.19
CYBB,211.13,233.92,345.89,412.66,452.37,720.37,816.6,193.19,345.46,447.27,749.23,486.3,314.87,573.92,210.68,250.2,249.02,404.47,866.83,239.04,531.11,482.1,402.16,145.47,604.04,477.61,218.03,463.34,172.93,377.95,514.27,716.02,525.65,456.93,911.03,135.29,238.99,379.3,754.25,1409.3,1049.27,135.28,459.65,710.12,525.26,375.58,776.74,248.91,426.09,587.32,530.79,176.01,763.71,868.64,204.95,345.68,656.24,645.61,324.86,441.6,195.77,159.3,287.1,387.26,107.07,186.52,247.47,202.98,108.14,198.01,287.75,485.66,397.91,1139.93,190.29,81.8,201.56,451.56,316.29,310.39,245.32,168.75,200.48,130.03,170.64,279.7,548.84,344.63,460.76,124.9,264.72,340.68,644.05,412.89,157.8,368.59,396.81,670.74,430.67,549.64,85.86,134.76,251.11,360.44,545.03,350.78,91.69,184.71,247.86,458.56,282.35,330,152.45,137.04,172.98,353.6,412.2,201.22,162.51,229.91,351.51,557.6,380.21,520.46,105.93,188.59,323.96,550.76,447.2,468.42
CYSLTR1,74.65,108.7,146.58,135.09,61.27,66.96,73.14,82.24,82.12,105.03,103.28,55.52,72.66,58.84,62.21,68.85,66.58,84.01,89.55,22.06,30.27,72.72,83.67,83.83,180.37,54.75,50.87,36.44,54.96,163.07,164.41,82.39,46.85,93.46,73.28,52.85,114.76,110.03,67.04,60.21,45.94,46.21,179.86,150.53,20,50.4,44.76,42.7,111.79,89.93,62.55,39,20,55.58,48.94,144.62,117.95,63.63,26.98,42.18,49.08,93.21,100.13,78.2,40.84,41.3,51.18,48.54,20,20,25.07,25.56,26.46,21.49,35.68,20,32.69,24.27,25.1,20,20.23,23.62,23.84,24.6,32,32.72,34.66,63.18,40.7,20,20,20,50.42,36.62,20,20,22.7,34.23,30.25,34.49,27.81,22.46,29.7,24.52,40.4,20,23.77,25.15,20,61.97,49.67,37.82,21.78,30.81,28.36,32.89,39.75,20,20,20,20,20,20,57.3,29.42,39.37,26.37,53.93,28.73,38
CYSLTR2,29.16,20,32.15,20,27.57,20,20,26.38,32.09,20,20,20,20,20,29.69,20,20,20,20,20,20,20,22.5,36.98,20,20,26.65,20,20,20,20,20,20,20,20,22.2,22.11,20,29.93,20,20,20,20,20,20,20,20,33.61,20,20,20,20,20,20,36.71,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.79,20,20,20,20,20,20,20,20,20,20,20,20,20,24.14,20,20,20,20,20,20,20,20,20,24.49,26.94,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.98,20,20,20,20,20,53.72,20,20,20,20,20,20
DAXX,20,28.9,28.29,42.56,20.42,20,20,20,24.54,20,20,20,20,22.36,31.11,20,20,20,20,20,20,20,20,32.05,20,20,26.65,20,20,20,28.94,20,20,20,20,31.71,23.16,20,20,20,20,25.21,36.34,20,20,20,20,24.53,20,20,20,20,20,20,21.41,24.69,31.37,29.17,28.1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,45.54,20,20,20,20,20,20,20,20,20,20,20,20,31.99,20,20,20,20,20,20,20,20,20,36.18,20,20,20,20,20,20,20,27.46,20,20,20,20,34.94,32.88
DDIT3,43.16,41.28,51.43,77.72,26.55,27.71,41.56,20,22.65,29.76,59.52,44.03,46.83,29.59,20,20,35.96,25.2,37.61,24.82,26.14,20,20,27.12,75.05,52.86,33.92,35.14,37.54,33.53,65.76,54.93,25.3,60.58,28.43,29.6,28.43,44.4,49.09,28.99,20,23.53,59.95,87.26,76.02,30,20,20,35.86,55.51,79.45,21.08,52.8,28.75,24.47,50.56,62.74,31.82,20,20,20,20,29.24,65.16,20,20,21.07,20,20,23.66,25.07,53.68,57.15,25.97,20,20,20,20,33.14,20,20,20,20,20,20,20,34.66,41.36,39.32,20,20,20,81.32,31.13,20,20,27.64,73.54,28.09,32.33,20,24.26,27.9,42.91,38.11,29.71,20,20,20,74.36,27.89,32.89,20,20,34.03,54.27,33.86,27.98,20,20,26.36,34.85,35.47,34.62,20,20,20,62.1,43.48,26.31
DDX58,181.97,692.12,918.08,1313.85,259.37,346.33,535.26,96.21,396.43,838.52,812.25,302.5,295.5,278.36,62.21,100.75,71.91,572.5,666.24,176.52,73.61,77.06,69.07,80.13,1243.19,370.01,191.38,311.06,93.84,1202.44,1044.31,468.85,297.03,553.86,172.99,71.88,837.01,975.76,331.63,406.96,181.29,52.09,1740.51,1555.49,507.98,383.98,268.54,73.58,905.96,917.07,490.22,130.69,288.51,315.87,90.75,1226.35,1074.08,349.98,178.73,157.54,104.37,496.54,915.34,336.99,121.42,127.9,115,79.43,24.58,629.96,448.18,527.84,157.68,112.83,28.54,20,207.92,184.63,154.63,34.6,34.14,31.22,36.84,37.49,109.7,172.04,280.19,235.5,161.4,20,255.65,383.62,460.27,64.08,63.7,570.88,364.24,594.66,99.39,121.78,25.39,286.59,367.21,274.62,103.67,76.56,20,208.12,149.61,448.92,114.16,93.19,36.3,265.17,215.51,319.06,160.46,93.28,20,207.48,344.48,313.65,156.05,163.54,20,302.11,264.94,375.89,164.6,195.84
DEFA1,81.65,74.3,108.01,85.12,29.61,51.95,169.97,35.69,29.26,56.02,59.52,40.21,155.01,325.84,69.28,55.41,67.92,44.41,20,22.98,134.84,20,20,59.17,64.16,58.52,53.3,403.47,76.41,102.11,111.8,84.35,109.63,607.51,1180.53,49.68,34.74,39.57,27.54,501.73,9057.22,46.21,256.17,152.71,127.86,154.79,150.15,43.6,58.01,55.51,52.4,40.05,94.29,41.4,87.69,139.92,111.67,54.35,880.16,240.65,75.6,96.6,74.43,68.89,45.26,227.83,71.65,51.63,20,20,27.07,25.56,28.57,197,20,20,20,20,20,20,26.56,20,20,20,20,20,20,25.27,23.45,20,20,20,20,20,20,20,20.73,20,20,36.64,20,20,20,20,21.34,65.13,20,20,20,20,61,61.4,20.74,20,20,20,20,31.98,20,20,20,20,20,63.27,20,20,20,20,20,20
DEFB1,29.16,20,20,20,20,24.24,102.65,20,20,20,20,20,32.29,20,20,20,20,20,20,20,20,20,20,20,27.84,20,32.7,41.65,20,20,20,20,20,72.69,20,20,20,20,20,20,43.46,20,20,20,20,36,28.88,20,20,20,20,20,20,30.28,20,20,20,20,33.72,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.65,20,20,20,20,20,20
DEFB103A,32.66,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.66,20,20,20,20,20,20,20,20,20,20,20,23.25,20,20,20,20,20,20,20,25.09,20,20,20,20,20,20,20,21.08,20,20,20,20,20,20,20,20,20,20,20,39.1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
DEFB4A,29.16,35.78,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,152.75,93.13,20,20,20,20,20,20,21.8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
DOCK9,26.83,20,29.57,20,20,20,20,20.95,20,20.13,20,40.21,20,22.36,20,20,31.96,20,20,23.9,20,20,23.68,27.12,20,20,20,20,20,20,20,20,23.42,20,20,28.54,20,20,34.72,20,20,26.05,20,20,20,20,20,26.34,22.15,20,20,24.24,20,20,21.41,20,20,27.84,22.48,20,20,20,20,20,22.08,20,20.47,20,20,27.16,35.09,20,27.51,32.24,23.79,20,34.5,32.71,22.09,23.41,20,22.78,22.76,20,20,28.5,20,25.27,45.52,20,20,32.92,32.53,35.7,31.85,20,20,29.16,43.21,39.88,30.23,22.46,27,24.52,22.11,38.85,24.9,20,20,35.8,40.96,47.69,26.96,28.38,24.58,36.18,36.8,35.98,20,39.25,20,20,35.47,77.59,20,29.3,20,20,27.95,20
DPP4,47.82,50.91,52.72,20,39.82,20,20,38.02,31.15,28.01,38.51,40.21,37.14,46.79,59.39,20,34.62,27.6,20,28.5,20.64,20,23.68,46.85,26.63,20,44.82,29.93,20,35.05,31.57,49.04,31.86,20,20,40.17,34.74,20,46.69,22.3,20,29.41,38.15,26.18,20,34.8,20,36.34,31.64,25.54,38.88,50.59,20,20,33.65,25.87,25.1,33.14,28.1,20,27.08,20,29.24,46.55,52.98,31.98,24.69,20,29.49,21.9,29.08,20,46.56,29.55,32.11,20,40.86,51.7,42.17,31.04,20.86,21.09,20,20,20,24.28,20,43.65,83.46,35.69,36.31,20,82.95,68.66,30.4,20,32.57,54.52,89.3,62.51,35.07,32.34,44.1,39.23,54.88,46.85,31.7,25.15,20,34.43,85.4,80.03,46.67,39.73,35.92,34.54,57.41,34.65,39.29,20,24.61,47.52,79.45,68.04,33.84,28.38,31.39,20,131.99,101.58
DUSP4,23.33,33.02,30.86,20,28.59,20,20,20.17,22.65,23.63,35.01,20,20,20,20,20,20,20,20,41.37,20,20,20,20,20,20,24.23,28.63,20,20,20,20,28.11,20,20,32.77,24.22,20,20,20,24.83,21.85,20,25.09,20,37.2,20,27.25,20,20,20,54.81,20,20,20,20,20,20,24.73,20,20,20,20,20,38.63,20,20,20,20,20,20,20,34.92,42.09,20,20,20,20,20,49.87,20,20,20,20,20,20,20,20,85.53,20,20,20,20,70.49,20,20,20,20,99.39,73.29,20,20,20,20,28.97,82.27,20,20,20,20,73.2,80.58,20,20,20,20,20,69.3,20,20,20,20,49.65,62.07,20,20,20,20,60.56,103.04
EBI3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
EDNRB,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
EGR1,46.66,41.28,52.72,38.86,89.86,26.55,24.52,26.38,21.71,20.13,20,65.09,20,37.16,28.28,20,29.3,20,205.96,20,20,20,20,33.28,39.95,20,30.28,20,32.17,20,20,41.2,42.16,20,20,20,20,24.13,20,20,20,20,39.97,52.36,20,20,20,30.89,20,20,20,26.35,20,20,24.47,28.22,30.11,29.17,29.23,20,20.87,20,20,42.82,26.49,20,20,20,24.58,33.29,20.05,20,20,20,29.73,20,36.32,26.38,20.08,21.37,20,32.91,20,38.66,48.75,28.5,34.66,20,20,42.17,37.82,20,20,20,33.3,20,20,30.43,22.33,20,20,20,20,26.97,22.87,20,20,20,20,20,29.63,20,20,20,20,20,20,20,20,20,20,39.6,20,20,33.84,20,20,20,20,20
EGR2,20,27.52,37.29,20,47.99,20,20,20,20,20,20,38.29,20,20,20,20,20,20,77.01,20,20,20,20,20,25.42,20,20,20,20,20,20,20,29.98,20,20,20,20,20,20,20,20,20,20,24,20,20,20,20.89,20,20,20,20,20,20,22.43,23.52,20,29.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30.6,20,20,20,21.94,20,20,20,27.44,20,20,20,20,20,20,20,20,20,20,20,20,25.21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.98,20,20,20,20,20,37,20,20,20,20,20,20
EIF2A,101.48,104.58,102.87,107.33,87.82,75.04,88.52,109.4,101,71.77,89.28,105.3,87.2,125.24,79.18,75.56,82.56,44.41,98.5,68.95,75.68,86.21,114.45,89.99,79.89,79.29,72.68,35.14,101.88,74.68,71.02,78.47,85.27,65.77,89.7,77.16,88.44,77.21,99.37,71.36,114.24,80.66,56.32,59.99,86.39,74.4,80.85,93.57,78.05,56.62,84.52,93.8,90.51,84.33,68.32,65.84,80.3,87.5,61.82,109.16,85.19,64.4,81.52,106.12,69.54,63.95,87.91,112.52,89.71,103.39,121.32,100.97,110.06,139.69,116.55,81.8,99.87,92.84,93.38,136.87,73.34,102.94,70.44,74.97,70.08,107.66,101.1,78.12,112.43,89.22,107.4,100.2,167.52,107.11,72.39,121.72,81.93,96.36,139,109.93,73.77,100.62,95.4,105.44,104.43,114.26,101.88,78.91,87.09,119.8,129.84,128.27,101.63,90.82,94.52,98.68,98.63,106.61,117.86,127.1,109.85,114.05,99.31,118.18,111.81,101.62,115.52,122.57,138.97,142.5
EIF2AK2,234.46,498.11,851.22,736.49,317.58,503.34,521.54,128.79,528.58,796.51,728.22,327.39,381.08,388.8,96.15,157.84,105.2,523.29,660.87,322.7,123.15,110.77,117.21,145.47,1065.25,468.17,211.97,341,111.27,821.44,819.4,451.19,337.32,451.74,262.3,145.86,761.2,869.6,490.86,585.35,254.56,80.66,957.46,942.46,411.22,325.18,300.3,126.27,787.84,725,478.39,251.89,437.48,380.27,110.12,672.55,627.38,383.13,197.84,222.04,141.05,354.19,719.52,336.99,215.25,199.85,120.42,127.52,40.55,363.61,359.94,460.1,212.71,144.17,45.19,20,174.32,302.8,212.87,71.24,49.32,47.25,40.1,33.97,118.84,187.87,268.64,268.81,211.75,38.93,255.65,334.95,481.41,93.38,79.63,382.3,305.01,510.98,192.29,155.19,33.86,211.12,290.71,331.02,191.33,157.68,30.56,211.59,151.84,432.4,142.04,152.39,54.96,193.81,234.42,360.18,290.01,230.54,62.5,214.96,277.69,305.73,184.43,365.27,33.84,258.17,254.9,370.99,225.93,233.11
ELK1,37.33,46.78,20,20,20,23.09,20,32.59,23.6,20,38.51,20,20,20,29.69,36.94,20,20,20,20,20,20,20,53.01,20,20,30.28,20,36.19,20,32.88,43.16,20,20,20,38.05,22.11,22.2,26.34,20,20,20,20,20,20,20,20,21.8,34.8,20,35.5,28.46,20,20,20.39,24.69,25.1,20,20,27.29,25.95,20,22.15,39.1,20,20,20,20,20,20,20,26.84,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.55,20,20,20,20,20,20,20,20,20,20,20,20,20.74,20,20,20,20,20,20,20,20,20,20,25.07,20,20,20,20,20,20
ENTPD1,43.16,28.9,20,20,26.55,20,26.18,24.83,20,27.13,36.76,20,20,20,38.18,20,20,37.21,42.98,22.06,32.33,24.56,20,38.22,46,20,20,20,20,36.58,20,20,24.36,20,21.22,36.99,20,35.71,20,25.64,34.77,20,49.05,44.72,20,20,20,37.25,32.69,31.09,20,20,20,28.75,36.71,27.04,28.86,30.49,20,20,25.95,20,20,20,25.39,26.65,22.88,20,20,20,27.07,20,43.39,59.1,20,20,23.61,20,20,30.53,20,20,20,20,20,20,20,20,53.8,20,20,20,20,54.01,20,37.72,20,20,54.73,42.03,20,20,23.4,20,28.97,47.99,20,20,20,20,31.37,32.89,20,20,20,20,20,51.97,20,20,20,20,29.79,20,20,20,20,20,34.16,38.73
EOMES,31.49,41.28,39.86,20,37.78,34.63,29.09,33.36,24.54,22.76,20,44.03,20,30.62,49.49,63.81,31.96,20,20,63.44,20,24.08,37.49,49.31,20,43.42,47.24,26.03,40.22,20,32.88,60.81,23.42,20,20,35.94,34.74,20,20,20,20,30.25,20,20,20,51.6,34.65,35.43,21.09,20,37.19,63.24,20,24.15,33.65,20,20,34.47,34.85,28.53,26.52,20,20,57.72,45.26,49.3,30.71,38.83,28.26,23.66,30.08,29.4,41.27,33.13,20,20,24.51,23.21,20,63.6,28.45,36.28,27.09,23.43,20,27.44,20,33.31,66.91,47.04,20,35.79,35.78,53.1,20,20,23.69,20,46.09,50.65,44.74,26.95,45,40.46,36.59,73.13,36.22,20,20,49.57,57.51,49.88,33.19,42.17,36.86,20,20,58.63,35.72,42.99,29.88,42.77,39.72,28.65,42.67,29.3,20,35.95,31.83,41.65
ETS1,299.78,323.36,365.17,186.9,410.5,248.21,285.08,457.76,347.35,280.09,234.57,356.11,603.91,857.78,374.7,431.55,410.16,213.64,241.78,325.46,190.57,430.57,623.56,453.66,203.37,268.07,236.2,365.73,355.25,219.46,182.82,233.44,292.34,240.58,191.82,353.03,329.54,247.08,252.61,127.1,219.79,355.41,69.04,117.81,110.58,356.38,218.01,334.3,181.4,215.39,275.54,622.88,326.23,259.13,303.85,136.39,133,246.58,265.28,266.7,428.22,181.33,190.51,243.9,454.78,303.77,469.65,622.18,379.73,401.28,416.09,555.96,516.43,329.53,390.09,351.73,449.43,425.19,264.08,599.91,307.91,370.4,403.12,326.82,286.43,319.8,361.08,381.39,560.08,462.3,381.2,445.17,432.62,451.34,337.32,243.44,255.66,305.57,509.89,488.21,418.41,358.46,348.31,459.75,339.98,585.02,375.83,342.54,216.6,484.73,520.25,539.95,455.26,506.82,468.84,486.82,384.23,441.09,469.67,463.56,414.78,475.23,455.4,484.65,429.6,484.3,423.16,572,490.68,514.45
EWSR1,159.8,160.99,231.45,190.6,213.42,133.92,183.27,154.4,146.3,182.06,182.06,187.63,172.78,225.37,179.57,169.6,173.12,178.83,186.26,195.83,132.09,169.53,191.41,146.7,152.52,154.8,176.85,169.2,159.53,181.36,207.81,180.48,176.15,159.23,184.61,149.04,176.88,186.27,175.99,169.47,212.34,134.43,145.35,165.8,145.14,166.79,164.59,102.65,141.33,167.65,185.95,204.47,241.37,165.22,125.42,185.77,134.26,152.45,131.52,184.83,117.35,89.82,126.71,141.5,156.75,139.89,146.31,141.64,168.36,164.72,202.53,198.1,202.13,198.79,179.59,151.32,150.72,139.27,145.6,190.81,128.98,143.44,154.96,127.68,118.84,150.93,144.43,163.13,207.62,126.52,161.86,168.91,195.17,165.7,188.21,145.72,163.86,191.46,172.12,212.31,141.49,154.53,159.3,176.54,191.33,252.52,116.6,118.8,136.21,141.84,214.37,174.87,179.41,175.16,158.8,203.94,222.29,150.58,191.08,171.96,219.69,179,239.76,116.98,147.12,165.71,190.86,171.6,227.48,249.92
