"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation","Species"
"TBP",7.13855428179568,-0.247102400008862,0.201977847987151,0.031214758325287,"Early",FALSE,"None","AGM"
"CSF3",6.73855650793918,-0.12675542787634,0.127428185464488,0.0153906769457109,"Early",FALSE,"None","AGM"
"CEACAM1",6.97644984795581,-0.216957107490575,0.192298079129508,0.0276920436713519,"Early",FALSE,"None","AGM"
"MAPK3",8.57927294308582,-0.220820560042201,0.298234535922952,0.053449825918659,"Early",FALSE,"None","AGM"
"ITGAM",8.50063658883109,0.415073067309674,0.312264044662118,0.0573603199696592,"Early",FALSE,"None","AGM"
"TNFRSF1B",8.26077681113959,0.316700355187639,0.312264044662118,0.0575863562883386,"Early",FALSE,"None","AGM"
"PDGFB",7.27470058316563,-0.404313716383528,0.298234535922952,0.0533055746015913,"Early",FALSE,"None","AGM"
"ROCK2",7.82570162381257,0.273392868472097,0.328136353993673,0.0622180619260732,"Early",FALSE,"None","AGM"
"CAMP",8.07162679672136,-0.448343504961503,0.340270985343134,0.0662840881488365,"Early",FALSE,"None","AGM"
"LTB",7.48921551093541,-0.315933021619475,0.340270985343134,0.0651449969597799,"Early",FALSE,"None","AGM"
"KLRC2",7.83345235723311,-0.504510739558367,0.3576271658937,0.0719249763599165,"Early",FALSE,"None","AGM"
"SERPING1",7.94832636275147,0.200128837541406,0.192298079129508,0.0271814790370797,"Early",FALSE,"None","AGM"
"NCF4",7.40858548241462,-0.33646072535513,0.340270985343134,0.0654036170030466,"Early",FALSE,"None","AGM"
"TOLLIP",8.2540927982181,-0.272543154094983,0.360744071391046,0.074491308248281,"Early",FALSE,"None","AGM"
"IL6R",7.89419099198546,-0.369023630774018,0.375405134022831,0.0784938007502283,"Early",FALSE,"None","AGM"
"TLR2",9.30117539619479,0.494543504169531,0.359428085256261,0.0737249888407735,"Early",FALSE,"None","AGM"
"XBP1",8.99861581502235,0.201907713005353,0.368646766838004,0.0766019255767281,"Early",FALSE,"None","AGM"
"C14orf166",10.103733455026,0.185272921053746,0.359428085256261,0.0735522225387243,"Early",FALSE,"None","AGM"
"HSPB2",7.58315624284393,-0.38049824886275,0.408538261753558,0.0880744824040138,"Early",FALSE,"None","AGM"
"BAX",9.78290809903586,-0.178777527191311,0.383511675764757,0.0806868720440139,"Early",FALSE,"None","AGM"
"MAP2K6",7.38749347068199,-0.258565381757767,0.409568293096352,0.0888284479832348,"Early",FALSE,"None","AGM"
"CD79A",6.90719726816978,-0.303777435803005,0.346260011177464,0.0688023139092882,"Early",FALSE,"None","AGM"
"CTLA4",7.57685105058822,0.254987993599154,0.197230504331709,0.0286880733573394,"Early",FALSE,"None","AGM"
"NFIL3",8.22174894914809,-0.278105084121151,0.420851996737424,0.0945550590072394,"Early",FALSE,"None","AGM"
"ATF2",8.78147931322537,0.158098658034612,0.4072203129437,0.0872614956307929,"Early",FALSE,"None","AGM"
"BATF3",6.78354387456583,-0.126407316812966,0.192298079129508,0.0274693968413331,"Early",FALSE,"None","AGM"
"DDIT3",7.25778892944742,0.122861142877251,0.198457697213586,0.0296397859474836,"Early",FALSE,"None","AGM"
"IDO2",8.0978087540494,0.489599357502871,0.432285079056541,0.0976851996829068,"Early",FALSE,"None","AGM"
"PSMB5",7.59170447676001,-0.225078169367354,0.414287121448406,0.090389917406925,"Early",FALSE,"None","AGM"
"IRAK1",7.16330199131786,-0.210463451771304,0.340270985343134,0.0663461196799295,"Early",FALSE,"None","AGM"
"NOTCH2",9.02057297355795,0.158157645720328,0.420851996737424,0.0945060619477314,"Early",FALSE,"None","AGM"
"UBE2L3",10.2750428006604,0.153918823190921,0.418172751565723,0.0922621877330898,"Early",FALSE,"None","AGM"
"MEF2A",7.16904110412926,-0.242127237289523,0.3193236385958,0.0601323735018066,"Early",FALSE,"None","AGM"
"PRDM1",9.10808062900455,0.205347637147796,0.436245634226708,0.0991467350515246,"Early",FALSE,"None","AGM"
"NFKB1",8.51553730050491,-0.191144623268242,0.445988390885445,0.103098615035856,"Early",FALSE,"None","AGM"
"SMAD7",7.09356255109572,-0.306156032295756,0.420851996737424,0.0944947975047483,"Early",FALSE,"None","AGM"
"TAL1",8.15266820396405,-0.367198600650205,0.44411003325423,0.102087631020777,"Early",FALSE,"None","AGM"
"DPP4",7.65592252980694,-0.312133353785903,0.437221741871319,0.0999363981420158,"Early",FALSE,"None","AGM"
"TRADD",8.44189213009524,-0.371120480930667,0.450356016671479,0.105278029871255,"Early",FALSE,"None","AGM"
"TYROBP",11.1638147718622,-0.276284272331557,0.446197663199466,0.103726469756759,"Early",FALSE,"None","AGM"
