"gene","Early.lfc","Early.padj","Late.lfc","Late.padj","Middle.lfc","Middle.padj"
"BCL6",0.575903382523046,0.0600053985348347,0.348431265321192,0.319311674131105,0.616441297065711,0.111098664484415
"BID",0.788479738821444,1.82581620755898e-07,0.579820517459082,3.0537756068873e-05,0.59664258454816,0.000395346537256445
"BIRC2",0.212775109864154,0.153802198509653,0.0741750796500593,0.658253393610879,-0.155777901939784,0.410844073399735
"BLK",-0.0979922487377198,0.00630256001311618,0.0086977236204806,0.818555103486052,-0.0692066132234181,0.105487515706437
"BLNK",-0.205977503430738,0.420750133545232,-0.679780665011726,0.00328385723490841,-0.171189677703275,0.616367041122736
"BST2",1.97441205087424,1.03297307723756e-15,1.5470589639405,1.97591769022473e-12,2.10605888172416,5.54064106335008e-14
"BTK",0.576590138176887,0.00446556834874873,0.0290031283577035,0.887889503970711,0.428556411370701,0.0788552766882762
"BTLA",-0.669215474078337,0.00364646548415143,-0.953466636845663,1.95705336621301e-05,-0.822423889982263,0.00211637738908386
"C10orf54",0.775780651282037,0.00336832443104862,0.507592004903859,0.0460287062374884,0.479359397312495,0.133436407828995
"C14orf166",-0.121918750422461,0.378782131163584,0.255142432782504,0.0820759811443633,-0.105158375297707,0.569094471348372
"C1QA",-0.131755367873834,0.00446556834874873,-0.0263299181591456,0.58602209184175,-0.102969732359532,0.0534156533634083
"C1QB",-0.0483499569702603,0.379238915711069,0.0794424760012635,0.187074466481844,-0.0420517418600435,0.555000901722979
"C1QBP",-0.172406066010861,0.520855031417425,0.02057011899287,0.95126022325144,-0.17505050616092,0.632940794700405
"C1R",-0.070837377374346,0.0399369269283239,0.034588072340342,0.335242556861147,-0.0420517418600443,0.328974653039415
"C1S",-0.070837377374346,0.0399369269283239,0.034588072340342,0.335242556861147,-0.0420517418600443,0.328974653039415
"C2",0.18724590719393,0.12109580448533,0.863568692281779,2.25695953908899e-06,1.1654467097214,3.52021699329432e-05
"C3",-0.0849460688134815,0.125834350133598,0.0272023578095402,0.661919441100395,0.0664441203909449,0.424416620514513
"C3AR1",0.982876486144575,0.00291260788310267,1.87329549830216,1.9846181114671e-08,1.59914364882442,2.85606229711136e-05
"C4A",0.0067196100927065,0.92718678496092,0.034588072340342,0.562424944636281,0.0883848712630781,0.327720344357396
"C4B",-0.148160886483964,0.508486829444176,-0.204200649987858,0.378783164870943,0.16190998502598,0.612302501659257
"C4BPA",-0.196126325380035,0.0369728426597327,-0.126413889150133,0.189072867650386,-0.0396694332223371,0.765471622918313
"C5",-0.0731640626741683,0.0399369269283239,0.0322613870405197,0.373610784562168,-0.0443784271598666,0.328974653039415
"C5aR1",0.696409248354433,0.0159674286007131,1.1714890823632,2.69611329812926e-05,1.12932048825576,0.000646535725274851
"C6",-0.141045821123065,0.00101671244740087,-0.0356203714083767,0.410955372224138,-0.112260185608763,0.0229825142418468
"C7",-0.0829955563259794,0.0246061642130954,0.0224298933887086,0.558587296842293,-0.0542099208116777,0.237133762673987
"C8A",-0.306047627081401,0.0886531286132103,-0.27444023632012,0.16220807546062,-0.0453954578014208,0.8728181024689
"C8B",-0.139102904472959,0.117980127814578,-0.120695266144141,0.218593138813298,-0.197335080344524,0.0490718982384623
"C8G",-0.070837377374346,0.0399369269283239,0.034588072340342,0.335242556861147,-0.0420517418600443,0.328974653039415
"C9",-0.170609805749269,0.461564592017001,-0.235209377810894,0.335242556861147,0.0331607835554397,0.929544151045476
"CAMP",0.774033547991966,0.0654928440839796,1.16930273759783,0.00523853088419263,0.385838461257087,0.474726439152148
"CARD9",0.287641392679867,0.181851260985292,0.123782839159237,0.588450557055065,0.350909577282986,0.230426578857103
"CASP1",2.09979748596761,2.22077956419933e-11,0.86239600221703,0.000682095159142818,1.74327814358124,1.67910978910414e-07
"CASP10",1.25423472928546,3.56487247551983e-06,0.622985641283037,0.0142821103863642,0.636076774331517,0.0432690754704843
"CASP2",-0.370417838314445,0.119473643315681,-0.336400521398765,0.189929654293835,-0.146508974713628,0.645712878077087
"CASP3",-0.167058039531678,0.438051790028867,0.134010624247932,0.575016437938223,-0.20316012154813,0.468536182328188
"CASP8",0.167989490416314,0.236723568563237,-0.117596871987738,0.436104224826359,-0.057160574813846,0.764034392512342
"CCBP2",-0.070837377374346,0.0399369269283239,0.034588072340342,0.335242556861147,-0.0420517418600443,0.328974653039415
"CCL1",-0.446232992671862,0.0417606356542586,-0.461756435932798,0.0339506459367761,0.0649846505376077,0.859215128760643
"CCL11",-0.070837377374346,0.0399369269283239,0.034588072340342,0.335242556861147,-0.0420517418600443,0.328974653039415
"CCL13",-0.119888767128887,0.626713562821901,-0.217151250098303,0.360087687301135,-0.108009338788837,0.73028821169
