"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation","Species"
"CD68",8.21036317875409,0.448179663813354,0.198457697213528,0.0293378738089956,"Early",FALSE,"None","AGM"
"PSMC2",9.48703711560541,0.3198160410635,0.192298079129553,0.0271701494113972,"Early",FALSE,"None","AGM"
"CXCL5",6.78431323634252,-0.18353012584386,0.0849308872303865,0.00956054996591132,"Early",FALSE,"None","AGM"
"CCR3",7.48087574894874,-0.500838818790865,0.204164441386716,0.032082983646484,"Early",FALSE,"None","AGM"
"HLA-C",8.26222187904152,0.337219612673733,0.207533917809998,0.0329313644301997,"Early",FALSE,"None","AGM"
"FCGR2B",7.47596021444219,0.428229843675077,0.198457697213528,0.0296170176175672,"Early",FALSE,"None","AGM"
"CEACAM8",10.1952544931976,-0.643817948591753,0.199360520844045,0.0300335330102717,"Early",FALSE,"None","AGM"
"CHUK",7.90309473887021,0.305819419999393,0.207533917809998,0.0334210465044673,"Early",FALSE,"None","AGM"
"ALOX5",7.21763295178409,-0.370860117007266,0.172607632093512,0.0233132386204223,"Early",FALSE,"None","AGM"
"LGALS3",10.8999734961009,-0.405807613305578,0.200330801496783,0.0307000449047018,"Early",FALSE,"None","AGM"
"CXCR4",9.93767793549104,-0.377846060016656,0.203313419617528,0.0316852082520823,"Early",FALSE,"None","AGM"
"FCGR2A",10.66942210924,0.543857460495831,0.207533917809998,0.0333563277211525,"Early",FALSE,"None","AGM"
"FASLG",8.31038310067873,0.335752606702652,0.225551286827528,0.0374942398882124,"Early",FALSE,"None","AGM"
"STAT5B",9.09440263569943,-0.272697516858655,0.218299578988072,0.0354382433422195,"Early",FALSE,"None","AGM"
"AHR",7.20644189995516,-0.339213012684866,0.220979513692492,0.0361602840587715,"Early",FALSE,"None","AGM"
"HSH2D",7.90619807589696,0.303063652209513,0.252591406953152,0.0426453024726101,"Early",FALSE,"None","AGM"
"S100A9",15.2298131507615,0.72612055734829,0.255135157593209,0.0434061112268965,"Early",FALSE,"None","AGM"
"CD82",7.35024906274547,-0.347856914878755,0.22445523805556,0.0370205392637093,"Early",FALSE,"None","AGM"
"TBX21",8.938345072717,0.413665015796541,0.258399956107432,0.0442971353327027,"Early",FALSE,"None","AGM"
"EOMES",7.44834966709057,-0.349403736095706,0.261608986518148,0.0451870067622256,"Early",FALSE,"None","AGM"
"IL15",7.63206341111048,0.316030632951111,0.199476906528791,0.0303101273556734,"Early",FALSE,"None","AGM"
"MYC",7.56123053678547,-0.397765551030265,0.274966219846502,0.0481694845272923,"Early",FALSE,"None","AGM"
"BTK",7.19003299747122,-0.297945850140144,0.225778779352116,0.0378252760213285,"Early",FALSE,"None","AGM"
"BIRC2",8.88734365763444,0.190578678790921,0.274966219846502,0.0482083632198413,"Early",FALSE,"None","AGM"
"TBP",7.13855428179568,-0.247102400008862,0.201977847987147,0.0312147583252863,"Early",FALSE,"None","AGM"
"CSF3",6.73855650793918,-0.126755427876343,0.127428185464469,0.0153906769457086,"Early",FALSE,"None","AGM"
"CEACAM1",6.97644984795581,-0.216957107490567,0.192298079129553,0.0276920436713581,"Early",FALSE,"None","AGM"
"MAPK3",8.57927294308582,-0.220820560042201,0.298234535922963,0.0534498259186609,"Early",FALSE,"None","AGM"
"ITGAM",8.50063658883109,0.41507306730967,0.312264044662124,0.0573603199696615,"Early",FALSE,"None","AGM"
"TNFRSF1B",8.26077681113959,0.316700355187638,0.312264044662124,0.0575863562883398,"Early",FALSE,"None","AGM"
"PDGFB",7.27470058316562,-0.404313716383531,0.298234535922963,0.0533055746015881,"Early",FALSE,"None","AGM"
"ROCK2",7.82570162381257,0.273392868472098,0.328136353993667,0.062218061926072,"Early",FALSE,"None","AGM"
"CAMP",8.07162679672136,-0.448343504961497,0.34027098534313,0.0662840881488408,"Early",FALSE,"None","AGM"
"LTB",7.48921551093541,-0.315933021619472,0.34027098534313,0.0651449969597813,"Early",FALSE,"None","AGM"
"KLRC2",7.83345235723311,-0.504510739558362,0.357627165893655,0.0719249763599182,"Early",FALSE,"None","AGM"
"SERPING1",7.94832636275147,0.200128837541399,0.192298079129553,0.0271814790370819,"Early",FALSE,"None","AGM"
"NCF4",7.40858548241462,-0.336460725355123,0.34027098534313,0.0654036170030503,"Early",FALSE,"None","AGM"
"TOLLIP",8.2540927982181,-0.272543154094983,0.360744071391048,0.0744913082482814,"Early",FALSE,"None","AGM"
"IL6R",7.89419099198547,-0.369023630774017,0.375405134022825,0.078493800750227,"Early",FALSE,"None","AGM"
"TLR2",9.30117539619479,0.494543504169524,0.359428085256327,0.0737249888407761,"Early",FALSE,"None","AGM"
"XBP1",8.99861581502235,0.201907713005351,0.368646766838027,0.0766019255767329,"Early",FALSE,"None","AGM"
"C14orf166",10.103733455026,0.185272921053746,0.359428085256327,0.073552222538726,"Early",FALSE,"None","AGM"
"HSPB2",7.58315624284393,-0.380498248862749,0.40853826175356,0.0880744824040143,"Early",FALSE,"None","AGM"
"BAX",9.78290809903586,-0.178777527191306,0.383511675764804,0.0806868720440238,"Early",FALSE,"None","AGM"
"MAP2K6",7.38749347068199,-0.258565381757772,0.409568293096329,0.0888284479832298,"Early",FALSE,"None","AGM"
"CD79A",6.90719726816978,-0.303777435803,0.346260011177464,0.0688023139092882,"Early",FALSE,"None","AGM"
"CTLA4",7.57685105058822,0.254987993599169,0.197230504331634,0.0286880733573286,"Early",FALSE,"None","AGM"
"NFIL3",8.22174894914809,-0.278105084121153,0.420851996737419,0.0945550590072384,"Early",FALSE,"None","AGM"
"ATF2",8.78147931322537,0.158098658034614,0.407220312943699,0.0872614956307925,"Early",FALSE,"None","AGM"
"BATF3",6.78354387456582,-0.126407316812966,0.192298079129553,0.027469396841331,"Early",FALSE,"None","AGM"
"DDIT3",7.25778892944742,0.122861142877254,0.198457697213528,0.029639785947475,"Early",FALSE,"None","AGM"
"IDO2",8.0978087540494,0.489599357502877,0.432285079056519,0.0976851996829017,"Early",FALSE,"None","AGM"
"PSMB5",7.59170447676001,-0.225078169367352,0.414287121448425,0.090389917406929,"Early",FALSE,"None","AGM"
"IRAK1",7.16330199131786,-0.210463451771301,0.34027098534313,0.0663461196799326,"Early",FALSE,"None","AGM"
"NOTCH2",9.02057297355795,0.158157645720324,0.420851996737419,0.0945060619477413,"Early",FALSE,"None","AGM"
"UBE2L3",10.2750428006604,0.153918823190917,0.418172751565655,0.0922621877331003,"Early",FALSE,"None","AGM"
"MEF2A",7.16904110412926,-0.24212723728952,0.319323638595808,0.0601323735018081,"Early",FALSE,"None","AGM"
"PRDM1",9.10808062900455,0.205347637147803,0.436245634226663,0.0991467350515143,"Early",FALSE,"None","AGM"
"NFKB1",8.51553730050491,-0.19114462326824,0.445988390885468,0.103098615035861,"Early",FALSE,"None","AGM"
"SMAD7",7.09356255109572,-0.306156032295754,0.420851996737419,0.0944947975047484,"Early",FALSE,"None","AGM"
"TAL1",8.15266820396405,-0.367198600650211,0.444110033254205,0.102087631020772,"Early",FALSE,"None","AGM"
"DPP4",7.65592252980694,-0.312133353785906,0.437221741871297,0.0999363981420107,"Early",FALSE,"None","AGM"
"TRADD",8.44189213009524,-0.371120480930664,0.450356016671492,0.105278029871258,"Early",FALSE,"None","AGM"
"TYROBP",11.1638147718622,-0.276284272331552,0.446197663199485,0.103726469756764,"Early",FALSE,"None","AGM"
"MAPK14",7.8905337350677,0.274319336937124,0.479299403550058,0.113911416687871,"Early",FALSE,"None","AGM"
"S100A8",13.4847351769857,0.626595881900473,0.46129923891823,0.108435275641818,"Early",FALSE,"None","AGM"
"HPRT1",8.3251403331761,-0.274598596137145,0.482599215103398,0.11709371726928,"Early",FALSE,"None","AGM"
"TNFSF8",7.79588199472091,0.325417261190202,0.482599215103398,0.117202666525111,"Early",FALSE,"None","AGM"
"SLAMF7",9.56783627680855,0.388662543522994,0.482599215103398,0.116658631765131,"Early",FALSE,"None","AGM"
"BID",9.12084335605564,0.157628150974274,0.485993543810171,0.12027422233062,"Early",FALSE,"None","AGM"
"TYK2",8.24420994173366,-0.149623325176302,0.516842766330263,0.130888752512209,"Early",FALSE,"None","AGM"
"TLR5",7.90268897839554,0.322893073761648,0.519150703734757,0.133085344775308,"Early",FALSE,"None","AGM"
"CDKN1A",7.64627269161776,0.265236268422376,0.517810085490272,0.131806203579342,"Early",FALSE,"None","AGM"
"ANP32B",9.34049506029998,-0.184357948686142,0.498194492133576,0.124225120116424,"Early",FALSE,"None","AGM"
"CFL1",11.8526137217907,0.158091126434224,0.50606042763727,0.126843717576614,"Early",FALSE,"None","AGM"
"MAX",11.5473764848205,0.206292338300537,0.519150703734757,0.13349589524608,"Early",FALSE,"None","AGM"
"MME",7.9298834404971,-0.334842018998994,0.532792385521593,0.147273523261089,"Early",FALSE,"None","AGM"
"CD27",6.98390312002919,-0.190329686620843,0.346260011177464,0.0685899016302601,"Early",FALSE,"None","AGM"
"MAP2K1",7.57421244664845,-0.218867225325845,0.532792385521593,0.145984475255823,"Early",FALSE,"None","AGM"
"CX3CR1",9.6692266038334,0.484702640694337,0.532792385521593,0.140846526439602,"Early",FALSE,"None","AGM"
"BCL3",7.27264455687558,-0.221176397069504,0.479806253411612,0.114655000815242,"Early",FALSE,"None","AGM"
"C1QB",7.11766823508799,0.17126349536859,0.293805326845124,0.0518928888973207,"Early",FALSE,"None","AGM"
"APP",9.1728006430444,0.157068111603245,0.532792385521593,0.14921679495996,"Early",FALSE,"None","AGM"
"ETS1",11.0695913677084,-0.16965145695832,0.532792385521593,0.149009882168527,"Early",FALSE,"None","AGM"
"IL13RA1",8.16228954945112,0.280215807118734,0.532792385521593,0.170351074184389,"Early",FALSE,"None","AGM"
"PRKCB",10.01431163978,0.176870799839801,0.532792385521593,0.15245975207669,"Early",FALSE,"None","AGM"
"CD47",10.6917693342012,0.150809186203736,0.532792385521593,0.153670683314868,"Early",FALSE,"None","AGM"
"FCGRT",6.79610604738259,-0.134838605613757,0.300932292530218,0.0543241411190913,"Early",FALSE,"None","AGM"
"IL11RA",6.93442218484452,-0.271574524636183,0.485993543810171,0.12053575238663,"Early",FALSE,"None","AGM"
"LEF1",7.76455913294018,-0.293159285554735,0.532792385521593,0.177241156166793,"Early",FALSE,"None","AGM"
"SIRPA",8.47632062637187,-0.292769960746089,0.532792385521593,0.173498584231337,"Early",FALSE,"None","AGM"
"HMGB2",9.08768320955091,-0.227362079123617,0.532792385521593,0.180465904696584,"Early",FALSE,"None","AGM"
"ILF3",8.5924534572125,-0.175529038177118,0.532792385521593,0.179756410503519,"Early",FALSE,"None","AGM"
"HDAC4",7.02133336889482,-0.146887674194409,0.31190138920564,0.0567093434919345,"Early",FALSE,"None","AGM"
"CD74",12.7494691395911,0.198870563763986,0.532792385521593,0.195682110428971,"Early",FALSE,"None","AGM"
"NFE2L2",10.0476392020185,0.161588220015771,0.532792385521593,0.180805229595856,"Early",FALSE,"None","AGM"
"IL7",8.14701878703529,-0.269142694143659,0.532792385521593,0.203495089582313,"Early",FALSE,"None","AGM"
"CD8A",8.26713741755842,-0.251554036338691,0.532792385521593,0.205247524580035,"Early",FALSE,"None","AGM"
"IKBKAP",8.37211676942799,-0.178894149543588,0.532792385521593,0.202400926379275,"Early",FALSE,"None","AGM"
